Date,Prices
38068,1604.8
38069,1602.67
38070,1598.85
38071,1625.01
38072,1623.36
38075,1644.75
38076,1651.43
38077,1650.42
38078,1659.16
38079,1673.4
38082,1686.24
38083,1683.23
38084,1672.14
38085,1670.36
38089,1679.02
38090,1655.99
38091,1654.17
38092,1655.15
38093,1663.62
38096,1665.39
38097,1639.49
38098,1648.31
38099,1671.63
38100,1672.62
38103,1665.19
38104,1668.98
38105,1646.19
38106,1634.16
38107,1624.51
38110,1639.46
38111,1642.5
38112,1645.65
38113,1634.75
38114,1612.31
38117,1595.38
38118,1607.94
38119,1611.15
38120,1610.05
38121,1609.12
38124,1592.23
38125,1603.14
38126,1599.29
38127,1600.06
38128,1606.49
38131,1609.22
38132,1635.14
38133,1638.16
38134,1647.65
38135,1646.8
38139,1647.57
38140,1653.66
38141,1641.43
38142,1650.07
38145,1676.48
38146,1679.21
38147,1663.38
38148,1671.01
38152,1655
38153,1664.92
38154,1667.23
38155,1665.02
38156,1669.39
38159,1662.46
38160,1668.54
38161,1682.75
38162,1678.07
38163,1668.93
38166,1667.61
38167,1671.84
38168,1678.83
38169,1661.45
38170,1656.25
38174,1642.76
38175,1646.28
38176,1632.81
38177,1638.34
38180,1640.65
38181,1641.89
38182,1636.62
38183,1629.58
38184,1621.8
38187,1621.08
38188,1632.52
38189,1610.88
38190,1615.27
38191,1599.62
38194,1596.48
38195,1612.33
38196,1613.5
38197,1621.35
38198,1623.26
38201,1630.48
38202,1620.28
38203,1619
38204,1592.64
38205,1568.07
38208,1569.96
38209,1590.35
38210,1586.43
38211,1567.95
38212,1570.44
38215,1591.94
38216,1595.57
38217,1615.72
38218,1609.97
38219,1620.47
38222,1616.68
38223,1617.46
38224,1630.48
38225,1630.68
38226,1634.83
38229,1622.28
38230,1629.83
38231,1632.82
38232,1651.14
38233,1644.25
38237,1655.65
38238,1648.52
38239,1651.65
38240,1659.84
38243,1663.1
38244,1666.82
38245,1655.1
38246,1659.78
38247,1667.25
38250,1657.88
38251,1668.39
38252,1645.17
38253,1637.82
38254,1640.4
38257,1630.67
38258,1640.62
38259,1647.79
38260,1647.48
38261,1672.49
38264,1678.1
38265,1677.09
38266,1688.83
38267,1672.08
38268,1659.51
38271,1662.84
38272,1659.07
38273,1647.13
38274,1631.81
38275,1639.08
38278,1647.69
38279,1631.74
38280,1632.49
38281,1636.76
38282,1620.85
38285,1619.48
38286,1643.57
38287,1665.01
38288,1668.55
38289,1672.65
38292,1673.1
38293,1673.16
38294,1692.22
38295,1719.64
38296,1726.34
38299,1724.59
38300,1724.08
38301,1722.67
38302,1738.32
38303,1754.33
38306,1753.99
38307,1741.72
38308,1751.57
38309,1753.97
38310,1734.45
38313,1744.71
38314,1744.31
38315,1751.55
38317,1753.09
38320,1747.34
38321,1740.33
38322,1766.9
38323,1765.37
38324,1766.63
38327,1765.33
38328,1745.83
38329,1754.75
38330,1764.35
38331,1762.51
38334,1778.54
38335,1785.51
38336,1789.14
38337,1785.51
38338,1772.19
38341,1772.87
38342,1788.93
38343,1795.66
38344,1796.49
38348,1788.76
38349,1801.58
38350,1801.71
38351,1801.98
38352,1799.55
38355,1784.96
38356,1764.3
38357,1758.07
38358,1764.63
38359,1762.12
38362,1768.17
38363,1757.51
38364,1764.72
38365,1749.48
38366,1759.98
38370,1777.03
38371,1760.28
38372,1746.61
38373,1735.42
38376,1729.33
38377,1736.25
38378,1744.72
38379,1745.58
38380,1740.96
38383,1755.68
38384,1767.79
38385,1773.63
38386,1769.26
38387,1788.82
38390,1786.92
38391,1788.16
38392,1773.28
38393,1780.8
38394,1793.54
38397,1794.98
38398,1801.06
38399,1801.59
38400,1787.41
38401,1788.65
38405,1762.76
38406,1772.76
38407,1787.34
38408,1804.17
38411,1792.63
38412,1802.79
38413,1802.92
38414,1803.51
38415,1820.88
38418,1825.7
38419,1817.12
38420,1798.79
38421,1802.2
38422,1789.01
38425,1799.14
38426,1785.61
38427,1771.35
38428,1774.55
38429,1773.72
38432,1764.98
38433,1747.03
38434,1748.28
38435,1746.62
38439,1750.88
38440,1737.94
38441,1762.09
38442,1760.89
38443,1749.45
38446,1754.43
38447,1762.32
38448,1766.69
38449,1777.35
38450,1762.52
38453,1762.56
38454,1772.43
38455,1751.77
38456,1734.25
38457,1705.26
38460,1710.27
38461,1720.43
38462,1697.74
38463,1731.27
38464,1719.66
38467,1734.56
38468,1719.09
38469,1726.21
38470,1707.13
38471,1727.49
38474,1735.43
38475,1733.95
38476,1755.92
38477,1751.47
38478,1749.65
38481,1760.87
38482,1742.06
38483,1750.26
38484,1732.89
38485,1725.15
38488,1742.74
38489,1755.1
38490,1773.01
38491,1781.28
38492,1778.59
38495,1785.46
38496,1785.79
38497,1779.81
38498,1791.41
38499,1793.34
38503,1782.46
38504,1799.15
38505,1802.19
38506,1789.83
38509,1792.14
38510,1791.89
38511,1788.3
38512,1797.72
38513,1793.51
38516,1798.07
38517,1802.73
38518,1806.78
38519,1813.35
38520,1822.35
38523,1821.06
38524,1817.36
38525,1817.8
38526,1798.49
38527,1784.77
38530,1783.45
38531,1800.07
38532,1797.73
38533,1784.99
38534,1789.85
38538,1805.68
38539,1791.05
38540,1795.55
38541,1816.52
38544,1827.91
38545,1832.15
38546,1833.98
38547,1838.8
38548,1840.93
38551,1830.75
38552,1843.07
38553,1852.02
38554,1839.8
38555,1849.81
38558,1842.84
38559,1846.04
38560,1854.72
38561,1865.64
38562,1851.37
38565,1853.13
38566,1866.28
38567,1868.06
38568,1854.3
38569,1840.19
38572,1835.37
38573,1847.76
38574,1845.16
38575,1858.43
38576,1847.31
38579,1852.78
38580,1830.98
38581,1832.82
38582,1831.09
38583,1832.29
38586,1835.32
38587,1829.11
38588,1817.22
38589,1821.45
38590,1810.52
38593,1821.56
38594,1815.97
38595,1834.48
38596,1836.37
38597,1831.06
38601,1854.23
38602,1859
38603,1852
38604,1866.74
38607,1865.45
38608,1851.87
38609,1845.84
38610,1846.76
38611,1862.11
38614,1851.74
38615,1837.2
38616,1820.49
38617,1827.54
38618,1828.54
38621,1829.05
38622,1829.13
38623,1831.32
38624,1847.62
38625,1849.33
38628,1846.17
38629,1827.96
38630,1801.4
38631,1794.04
38632,1800.71
38635,1787.8
38636,1784.22
38637,1773.6
38638,1772.36
38639,1787.01
38642,1792.33
38643,1774.32
38644,1801.01
38645,1774.02
38646,1776.73
38649,1806.59
38650,1802.3
38651,1794.56
38652,1776
38653,1805.56
38656,1818.5
38657,1812.11
38658,1830.43
38659,1838.86
38660,1839.16
38663,1843.27
38664,1837.8
38665,1841
38666,1856.9
38667,1862.56
38670,1861.25
38671,1854.28
38672,1857.97
38673,1875.49
38674,1883.99
38677,1893.93
38678,1903.66
38679,1910.39
38681,1914.4
38684,1898.37
38685,1898.74
38686,1887.28
38687,1910.23
38688,1910.86
38691,1906.42
38692,1908.89
38693,1899.69
38694,1897.57
38695,1902.92
