Date,SP500ClosedPrices,USTNoteClosedPrices
37467,1283.62,1.1432
37468,1296.34,1.1542
37469,1258.22,1.1603
37470,1229.19,1.1688
37473,1187.07,1.1770
37474,1222.59,1.1658
37475,1247.28,1.1685
37476,1288.12,1.1641
37477,1292.94,1.1758
37480,1286.09,1.1802
37481,1258.36,1.1910
37482,1309.04,1.1865
37483,1324.32,1.1822
37484,1322.36,1.1690
37487,1353.63,1.1733
37488,1334.70,1.1861
37489,1351.82,1.1815
37490,1370.85,1.1712
37491,1339.79,1.1781
37494,1349.88,1.1798
37495,1331.20,1.1756
37496,1307.28,1.1815
37497,1307.28,1.1883
37498,1304.86,1.1891
37502,1250.68,1.2046
37503,1273.03,1.2046
37504,1252.77,1.2079
37505,1273.88,1.2007
37508,1286.79,1.1967
37509,1296.23,1.2028
37510,1296.25,1.1970
37511,1264.42,1.2052
37512,1268.57,1.2106
37515,1270.45,1.2106
37516,1245.39,1.2195
37517,1239.70,1.2173
37518,1202.47,1.2236
37519,1205.42,1.2229
37522,1188.76,1.2314
37523,1168.22,1.2366
37524,1197.56,1.2262
37525,1219.60,1.2243
37526,1180.28,1.2351
37529,1163.04,1.2415
37530,1209.59,1.2300
37531,1181.32,1.2347
37532,1168.57,1.2336
37533,1142.36,1.2350
37536,1120.52,1.2408
37537,1139.90,1.2390
37538,1108.91,1.2457
37539,1147.80,1.2367
37540,1192.63,1.2222
37544,1258.24,1.2048
37545,1228.01,1.2002
37546,1255.42,1.1858
37547,1262.84,1.1945
37550,1284.73,1.1818
37551,1271.08,1.1809
37552,1279.63,1.1839
37553,1260.17,1.1946
37554,1281.81,1.1969
37557,1271.20,1.1973
37558,1259.79,1.2118
37559,1272.25,1.2097
37560,1265.41,1.2164
37561,1287.13,1.2058
37564,1297.69,1.2023
37565,1307.80,1.2002
37566,1320.04,1.2038
37567,1290.15,1.2212
37568,1278.94,1.2259
37572,1262.14,1.2237
37573,1261.97,1.2246
37574,1293.21,1.2031
37575,1301.28,1.2067
37578,1287.79,1.2113
37579,1282.61,1.2120
37580,1307.61,1.2038
37581,1335.75,1.1952
37582,1331.17,1.1930
37585,1334.52,1.1934
37586,1306.79,1.2042
37587,1343.47,1.1859
37589,1339.89,1.1907
37592,1337.35,1.1893
37593,1317.65,1.1921
37594,1313.54,1.1966
37595,1297.80,1.1986
37596,1305.99,1.2031
37599,1277.05,1.2086
37600,1294.91,1.2072
37601,1295.91,1.2099
37602,1291.16,1.2097
37603,1273.83,1.2055
37606,1303.85,1.1985
37607,1293.26,1.2019
37608,1276.36,1.2100
37609,1266.79,1.2194
37610,1283.26,1.2175
37613,1285.60,1.2170
37614,1278.58,1.2210
